date,description,source
2023-01-26,Republic Day,NSE Official
2023-03-07,Holi,NSE Official
2023-03-30,Ram Navami,NSE Official
2023-04-04,Mahavir Jayanti,NSE Official
2023-04-07,Good Friday,NSE Official
2023-04-14,Dr. Ambedkar Jayanti,NSE Official
2023-04-22,Id-Ul-Fitr,NSE Official
2023-05-01,Maharashtra Day,NSE Official
2023-06-28,Bakri Id,NSE Official
2023-08-15,Independence Day,NSE Official
2023-09-19,Ganesh Chaturthi,NSE Official
2023-10-02,Mahatma Gandhi Jayanti,NSE Official
2023-10-24,Dussehra,NSE Official
2023-11-14,Diwali Laxmi Pujan,NSE Official
2023-11-15,Diwali Balipratipada,NSE Official
2023-11-27,Gurunanak Jayanti,NSE Official
2023-12-25,Christmas,NSE Official
2024-01-22,Ram Mandir Consecration,NSE Official
2024-01-26,Republic Day,NSE Official
2024-03-25,Holi,NSE Official
2024-04-09,Gudi Padwa,NSE Official
2024-04-11,Id-Ul-Fitr,NSE Official
2024-04-14,Dr. Ambedkar Jayanti,NSE Official
2024-04-17,Ram Navami,NSE Official
2024-04-21,Mahavir Jayanti,NSE Official
2024-05-01,Maharashtra Day,NSE Official
2024-05-23,Buddha Purnima,NSE Official
2024-06-17,Bakri Id,NSE Official
2024-07-17,Muharram,NSE Official
2024-08-15,Independence Day,NSE Official
2024-10-02,Mahatma Gandhi Jayanti,NSE Official
2024-11-01,Diwali Laxmi Pujan,NSE Official
2024-11-15,Gurunanak Jayanti,NSE Official
2024-11-20,Maharashtra Assembly Election,NSE Official
2024-12-25,Christmas,NSE Official
2025-02-26,Mahashivratri,NSE Official
2025-03-14,Holi,NSE Official
2025-03-31,Id-Ul-Fitr,NSE Official
2025-04-10,Ram Navami,NSE Official
2025-04-14,Dr. Ambedkar Jayanti,NSE Official
2025-04-18,Good Friday,NSE Official
2025-05-01,Maharashtra Day,NSE Official
2025-08-15,Independence Day,NSE Official
2025-08-27,Ganesh Chaturthi,NSE Official
2025-10-02,Mahatma Gandhi Jayanti,NSE Official
2025-10-21,Diwali Laxmi Pujan,NSE Official
2025-10-22,Diwali Balipratipada,NSE Official
2025-11-05,Gurunanak Jayanti,NSE Official
2025-12-25,Christmas,NSE Official
2026-01-26,Republic Day,NSE Circular CMTR71775
2026-03-03,Holi,NSE Circular CMTR71775
2026-03-26,Ram Navami,NSE Circular CMTR71775
2026-03-31,Mahavir Jayanti,NSE Circular CMTR71775
2026-04-03,Good Friday,NSE Circular CMTR71775
2026-04-14,Dr. Ambedkar Jayanti,NSE Circular CMTR71775
2026-05-01,Maharashtra Day,NSE Circular CMTR71775
2026-05-28,Bakri Id,NSE Circular CMTR71775
2026-06-26,Muharram,NSE Circular CMTR71775
2026-09-14,Ganesh Chaturthi,NSE Circular CMTR71775
2026-10-02,Mahatma Gandhi Jayanti,NSE Circular CMTR71775
2026-10-20,Dussehra,NSE Circular CMTR71775
2026-11-10,Diwali Balipratipada,NSE Circular CMTR71775
2026-11-24,Gurunanak Jayanti,NSE Circular CMTR71775
2026-12-25,Christmas,NSE Circular CMTR71775
